x0,y0,x1,y1,x2,y2,x3,y3,x4,y4
-1,0,0,0,30.5722,0.905784,60.9966,4.80103,91.0487,12.3482,
-0.0021,0,0,0,30.5717,0.916678,60.9941,4.82343,91.041,12.387,
-0.004,0,0,0,30.5716,0.917102,60.9939,4.8243,91.0406,12.3885,
-0.006,0,0,0,30.5717,0.917766,60.9939,4.82566,91.0403,12.3908,
-0.008,0,0,0,30.5716,0.919507,60.9935,4.82924,91.039,12.397,
-0.01,0,0,0,30.5713,0.922761,60.9926,4.83593,91.0366,12.4086,
-0.012,0,0,0,30.5712,0.925373,60.992,4.8413,91.0347,12.4179,
-0.014,0,0,0,30.571,0.929955,60.991,4.85072,91.0315,12.4342,
-0.016,0,0,0,30.5707,0.933426,60.9901,4.85785,91.0289,12.4465,
-0.018,0,0,0,30.5706,0.937355,60.9893,4.86593,91.0262,12.4605,
-0.02,0,0,0,30.5701,0.943873,60.9877,4.87933,91.0215,12.4837,
-0.022,0,0,0,30.57,0.948673,60.9867,4.8892,91.0181,12.5008,
-0.024,0,0,0,30.5695,0.956497,60.9848,4.90528,91.0124,12.5286,
-0.026,0,0,0,30.5692,0.962156,60.9834,4.91692,91.0084,12.5487,
-0.028,0,0,0,30.5687,0.971297,60.9813,4.93571,91.0018,12.5812,
-0.03,0,0,0,30.5684,0.977838,60.9799,4.94915,90.9972,12.6045,
-0.032,0,0,0,30.5679,0.984792,60.9782,4.96345,90.9922,12.6292,
-0.0339,0,0,0,30.5673,0.995881,60.9756,4.98624,90.9842,12.6687,
-0.036,0,0,0,30.5669,1.00372,60.9738,5.00235,90.9786,12.6965,
-0.0379,0,0,0,30.5662,1.01611,60.9709,5.02783,90.9697,12.7406,
-0.0399,0,0,0,30.5657,1.02481,60.9688,5.04571,90.9635,12.7716,
-0.042,0,0,0,30.5652,1.03395,60.9667,5.0645,90.9569,12.8041,
-0.0439,0,0,0,30.5644,1.0483,60.9634,5.09401,90.9467,12.8551,
-0.0459,0,0,0,30.5639,1.0583,60.961,5.11457,90.9395,12.8907,
-0.048,0,0,0,30.563,1.07396,60.9574,5.14676,90.9283,12.9464,
-0.05,0,0,0,30.5625,1.08485,60.9549,5.16913,90.9205,12.9851,
-0.052,0,0,0,30.5615,1.10181,60.9509,5.20401,90.9083,13.0454,
-0.0539,0,0,0,30.5609,1.11355,60.9482,5.22815,90.8999,13.0872,
-0.056,0,0,0,30.5599,1.13183,60.9439,5.26571,90.8868,13.1522,
-0.0579,0,0,0,30.5591,1.14443,60.9409,5.29161,90.8777,13.197,
-0.0599,0,0,0,30.5585,1.15749,60.9379,5.31846,90.8685,13.2435,
-0.062,0,0,0,30.5574,1.17772,60.9332,5.36005,90.854,13.3154,
